name,maximum_age I,maximum_milk_production I,maximum_outside_presence I,minimum_age I,minimum_milk_production I,minimum_outside_presence I,quantity D,variant R(product_nature_variants)
calf,12,0,0,0,0,0,25.0,calf
female_adult_cow,240,0,0,36,0,0,68.0,female_adult_cow
female_adult_goat,240,0,0,0,0,0,10.0,female_adult_goat
female_adult_sheep,240,0,0,0,0,0,10.0,female_adult_sheep
female_young_adult_cow,36,0,0,24,0,0,54.0,female_adult_cow
female_young_cow,24,0,0,12,0,0,42.0,female_young_cow
female_young_goat,24,0,0,12,0,0,5.0,female_young_goat
lamb,12,0,0,0,0,0,5.0,lamb
male_adult_cow,240,0,0,24,0,0,73.0,male_adult_cow
male_adult_goat,240,0,0,24,0,0,10.0,male_adult_goat
male_adult_sheep,240,0,0,24,0,0,10.0,male_adult_sheep
male_young_cow,24,0,0,12,0,0,42.5,male_young_cow
male_young_goat,24,0,0,12,0,0,5.0,male_young_goat
milking_cow_outside_max_prod_max,240,20000,12,12,8000,7,126.0,female_adult_cow
milking_cow_outside_max_prod_med,240,8000,12,12,6000,7,115.0,female_adult_cow
milking_cow_outside_max_prod_min,240,6000,12,12,0,7,104.0,female_adult_cow
milking_cow_outside_med_prod_max,240,20000,7,12,8000,4,111.0,female_adult_cow
milking_cow_outside_med_prod_med,240,8000,7,12,6000,4,101.0,female_adult_cow
milking_cow_outside_med_prod_min,240,6000,7,12,0,4,92.0,female_adult_cow
milking_cow_outside_min_prod_max,240,20000,4,12,8000,0,91.0,female_adult_cow
milking_cow_outside_min_prod_med,240,8000,4,12,6000,0,83.0,female_adult_cow
milking_cow_outside_min_prod_min,240,6000,4,12,0,0,75.0,female_adult_cow
