name,label,crop R(crop_sets),input_method,input_age_min_in_month I,input_age_max_in_month I,input_period_start,input_period_stop,keq D,variant R(product_nature_variants)
carbonnate_compost_on_spring_straw_cereal_during_spring,Compost MIATE avec support carbonaté de 6 mois et plus,spring_crop,,6,120,3,6,,urban_compost
carbonnate_compost_on_autumn_cropl_during_winter,Compost MIATE  avec support carbonaté de 6 mois et plus,autumn_crop,,6,120,9,12,,urban_compost
green_compost_on_spring_straw_cereal_during_spring,Compost de déchets verts de plus de 6 mois,spring_crop,,6,120,3,6,0.1,green_compost
green_compost_on_spring_straw_cereal_during_autum,Compost de déchets verts de plus de 6 mois,spring_straw_cereal,,6,120,9,12,0.1,green_compost
green_compost_on_spring_straw_cereal_during_summer,Compost de déchets verts de plus de 6 mois,spring_straw_cereal,,6,120,6,9,0.1,green_compost
green_compost_on_autumn_crop_during_summer,Compost de déchets verts de plus de 6 mois,autumn_crop,,6,120,8,9,0.05,green_compost
green_compost_on_autumn_crop_during_autumn,Compost de déchets verts de plus de 6 mois,autumn_crop,,6,120,9,12,0.05,green_compost
new_green_compost_on_autumn_crop_during_autumn,Compost de déchets verts de moins de 6 mois,autumn_crop,,0,6,9,12,0.0,green_compost
urban_compost_on_spring_straw_cereal_during_spring,Compost d’ordures ménagères résiduelles (par TMB),spring_crop,,0,120,3,6,0.1,urban_compost
urban_compost_on_autumn_crop_during_autumn,Compost d’ordures ménagères résiduelles (par TMB),autumn_crop,,0,120,9,12,0.05,urban_compost
anaerobic_digestion_digestate_on_spring_straw_cereal_during_spring_by_top,Digestats bruts,spring_crop,on_top,0,120,3,6,0.5,anaerobic_digestion_digestate
anaerobic_digestion_digestate_on_spring_straw_cereal_during_spring_by_injection,Digestats bruts,spring_straw_cereal,injection,0,120,3,6,0.9,anaerobic_digestion_digestate
anaerobic_digestion_digestate_on_autumn_crop_during_spring,Digestats bruts,autumn_crop,,0,120,3,6,0.8,anaerobic_digestion_digestate
anaerobic_digestion_digestate_on_rape_during_spring,Digestats bruts,rape,,0,120,3,6,0.65,anaerobic_digestion_digestate
liquid_anaerobic_digestion_digestate_on_spring_straw_cereal_during_spring,Fraction liquide après séparation de phase,spring_crop,,0,120,3,6,0.7,anaerobic_digestion_digestate
dry_anaerobic_digestion_digestate_on_spring_straw_cereal_during_spring,Fraction sèche après séparation de phase,spring_crop,,0,120,3,6,0.3,anaerobic_digestion_digestate
activated_sludge_on_spring_straw_cereal_during_spring_01,"Boues activées liquides IAA (C/N = 4,4)",spring_crop,,0,120,3,6,0.5,activated_sludge
activated_sludge_on_spring_straw_cereal_during_spring_02,"Boues activées liquides égouttées IAA (C/N = 4,4)",spring_crop,,0,120,3,6,0.5,activated_sludge
