name,crop R(crop_sets),maximum_available_water_capacity D,minimum_available_water_capacity D,plant_developpment,po D,precipitations_max D,precipitations_min D,precipitations_started_period,precipitations_stopped_period
corn_ru_max_1,corn,200.0,120.0,,95.0,400.0,0.0,10,03
corn_ru_max_2,corn,200.0,120.0,,80.0,1000.0,400.0,10,03
corn_ru_med_1,corn,120.0,80.0,,85.0,400.0,0.0,10,03
corn_ru_med_2,corn,120.0,80.0,,70.0,1000.0,400.0,10,03
corn_ru_min_1,corn,80.0,0.0,,75.0,350.0,0.0,10,03
corn_ru_min_2,corn,80.0,0.0,,60.0,1000.0,350.0,10,03
flax_ru_max_1,flax,200.0,120.0,,70.0,400.0,0.0,10,03
flax_ru_max_2,flax,200.0,120.0,,55.0,1000.0,400.0,10,03
flax_ru_med_1,flax,120.0,80.0,,60.0,400.0,0.0,10,03
flax_ru_med_2,flax,120.0,80.0,,45.0,1000.0,400.0,10,03
flax_ru_min_1,flax,80.0,0.0,,50.0,350.0,0.0,10,03
flax_ru_min_2,flax,80.0,0.0,,35.0,1000.0,350.0,10,03
hemp_ru_max_1,hemp,200.0,120.0,,95.0,400.0,0.0,10,03
hemp_ru_max_2,hemp,200.0,120.0,,80.0,1000.0,400.0,10,03
hemp_ru_med_1,hemp,120.0,80.0,,85.0,400.0,0.0,10,03
hemp_ru_med_2,hemp,120.0,80.0,,70.0,1000.0,400.0,10,03
hemp_ru_min_1,hemp,80.0,0.0,,75.0,350.0,0.0,10,03
hemp_ru_min_2,hemp,80.0,0.0,,60.0,1000.0,350.0,10,03
rapeseed_ru_max_1,rapeseed,200.0,0.0,high,160.0,350.0,0.0,10,03
rapeseed_ru_max_2,rapeseed,200.0,0.0,high,145.0,1000.0,350.0,10,03
rapeseed_ru_med_1,rapeseed,200.0,0.0,medium,130.0,350.0,0.0,10,03
rapeseed_ru_med_2,rapeseed,200.0,0.0,medium,115.0,1000.0,350.0,10,03
rapeseed_ru_min_1,rapeseed,200.0,0.0,low,100.0,350.0,0.0,10,03
rapeseed_ru_min_2,rapeseed,200.0,0.0,low,85.0,1000.0,350.0,10,03
spring_straw_cereal_ru_max_1,spring_straw_cereal,200.0,120.0,,70.0,400.0,0.0,10,03
spring_straw_cereal_ru_max_2,spring_straw_cereal,200.0,120.0,,55.0,1000.0,400.0,10,03
spring_straw_cereal_ru_med_1,spring_straw_cereal,120.0,80.0,,60.0,400.0,0.0,10,03
spring_straw_cereal_ru_med_2,spring_straw_cereal,120.0,80.0,,45.0,1000.0,400.0,10,03
spring_straw_cereal_ru_min_1,spring_straw_cereal,80.0,0.0,,50.0,350.0,0.0,10,03
spring_straw_cereal_ru_min_2,spring_straw_cereal,80.0,0.0,,35.0,1000.0,350.0,10,03
sunflower_ru_max_1,sunflower,200.0,120.0,,95.0,400.0,0.0,10,03
sunflower_ru_max_2,sunflower,200.0,120.0,,80.0,1000.0,400.0,10,03
sunflower_ru_med_1,sunflower,120.0,80.0,,85.0,400.0,0.0,10,03
sunflower_ru_med_2,sunflower,120.0,80.0,,70.0,1000.0,400.0,10,03
sunflower_ru_min_1,sunflower,80.0,0.0,,75.0,350.0,0.0,10,03
sunflower_ru_min_2,sunflower,80.0,0.0,,60.0,1000.0,350.0,10,03
wheat_ru_max_1,wheat,200.0,120.0,,105.0,400.0,0.0,10,03
wheat_ru_max_2,wheat,200.0,120.0,,90.0,1000.0,400.0,10,03
wheat_ru_med_1,wheat,120.0,80.0,,85.0,400.0,0.0,10,03
wheat_ru_med_2,wheat,120.0,80.0,,70.0,1000.0,400.0,10,03
wheat_ru_min_1,wheat,80.0,0.0,,65.0,350.0,0.0,10,03
wheat_ru_min_2,wheat,80.0,0.0,,50.0,1000.0,350.0,10,03
