name,coefficient D,cultivation_variety R(varieties),irrigated B,maximum_yield_aim D,minimum_yield_aim D,nitrogen_stock_before_bolting D,usage R(production_usages)
accroc_wheat_crop,2.8,triticum_aestivum_accroc,,,,,
acienda_wheat_crop,2.8,triticum_aestivum_acienda,,,,,
adhoc_wheat_crop,2.8,triticum_aestivum_adhoc,,,,,
alberic_wheat_crop,2.8,triticum_aestivum_alberic,,,,,
ambition_wheat_crop,2.8,triticum_aestivum_ambition,,,,,
amundsen_wheat_crop,2.8,triticum_aestivum_amundsen,,,,,
andalou_wheat_crop,2.8,triticum_aestivum_andalou,,,,,
aramis_wheat_crop,2.8,triticum_aestivum_aramis,,,,,
arlequin_wheat_crop,2.8,triticum_aestivum_arlequin,,,,,
balance_wheat_crop,2.8,triticum_aestivum_balance,,,,,
bermude_wheat_crop,2.8,triticum_aestivum_bermude,,,,,
ccb_preference_wheat_crop,2.8,triticum_aestivum_ccb_preference,,,,,
claire_wheat_crop,2.8,triticum_aestivum_claire,,,,,
expert_wheat_crop,2.8,triticum_aestivum_expert,,,,,
glasgow_wheat_crop,2.8,triticum_aestivum_glasgow,,,,,
hekto_wheat_crop,2.8,triticum_aestivum_hekto,,,,,
hybery_wheat_crop,2.8,triticum_aestivum_hybery,,,,,
hymack_wheat_crop,2.8,triticum_aestivum_hymack,,,,,
hyscore_wheat_crop,2.8,triticum_aestivum_hyscore,,,,,
hystar_wheat_crop,2.8,triticum_aestivum_hystar,,,,,
hysun_wheat_crop,2.8,triticum_aestivum_hysun,,,,,
jb_diego_wheat_crop,2.8,triticum_aestivum_jb_diego,,,,,
lear_wheat_crop,2.8,triticum_aestivum_lear,,,,,
oakley_wheat_crop,2.8,triticum_aestivum_oakley,,,,,
pakito_wheat_crop,2.8,triticum_aestivum_pakito,,,,,
parador_wheat_crop,2.8,triticum_aestivum_parador,,,,,
perfector_wheat_crop,2.8,triticum_aestivum_perfector,,,,,
pierrot_wheat_crop,2.8,triticum_aestivum_pierrot,,,,,
prevert_wheat_crop,2.8,triticum_aestivum_prevert,,,,,
royssac_wheat_crop,2.8,triticum_aestivum_royssac,,,,,
scipion_wheat_crop,2.8,triticum_aestivum_scipion,,,,,
scor_wheat_crop,2.8,triticum_aestivum_scor,,,,,
selekt_wheat_crop,2.8,triticum_aestivum_selekt,,,,,
sobbel_wheat_crop,2.8,triticum_aestivum_sobbel,,,,,
sokal_wheat_crop,2.8,triticum_aestivum_sokal,,,,,
sponsor_wheat_crop,2.8,triticum_aestivum_sponsor,,,,,
sweet_wheat_crop,2.8,triticum_aestivum_sweet,,,,,
trapez_wheat_crop,2.8,triticum_aestivum_trapez,,,,,
tremie_wheat_crop,2.8,triticum_aestivum_tremie,,,,,
valoris_wheat_crop,2.8,triticum_aestivum_valoris,,,,,
viscount_wheat_crop,2.8,triticum_aestivum_viscount,,,,,
adequat_wheat_crop,3,triticum_aestivum_adequat,,,,,
aldric_wheat_crop,3,triticum_aestivum_aldric,,,,,
aligator_wheat_crop,3,triticum_aestivum_aligator,,,,,
alixan_wheat_crop,3,triticum_aestivum_alixan,,,,,
