name,coefficient D,cultivation_variety R(varieties),irrigated B,maximum_yield_aim D,minimum_yield_aim D,nitrogen_stock_before_bolting D,usage R(production_usages)
alexis_wheat_crop,3.9,triticum_durum_alexis,,,,60.0,
apache_wheat_crop,3.0,triticum_aestivum_apache,,,,,
ascott_wheat_crop,3.0,triticum_aestivum_ascott,,,,,
autan_wheat_crop,3.0,triticum_aestivum_autan,,,,,
aventur_wheat_crop,4.1,triticum_durum_aventur,,,,80.0,
aztec_wheat_crop,3.0,triticum_aestivum_aztec,,,,,
biensur_wheat_crop,3.7,triticum_durum_biensur,,,,40.0,
brassage_barley_crop,2.2,hordeum_hexastichum,,,,,
brown_tobacco_crop,8.5,nicotiana_tabacum_brown,,,,,
burley_tobacco_crop,9.5,nicotiana_tabacum_burley,,,,,
bussard_wheat_crop,4.1,triticum_aestivum_bussard,,,,80.0,
caphorn_wheat_crop,3.2,triticum_aestivum_caphorn,,,,,
courtot_wheat_crop,4.1,triticum_aestivum_courtot,,,,80.0,
cultur_wheat_crop,3.7,triticum_durum_cultur,,,,40.0,
esperia_wheat_crop,3.9,triticum_aestivum_esperia,,,,60.0,
euclide_wheat_crop,3.0,triticum_aestivum_euclide,,,,,
fabulis_wheat_crop,3.9,triticum_durum_fabulis,,,,60.0,
flax_crop,4.5,linum,,,,,
fodder_sorghum_crop,1.3,sorghum,,,,,fodder
galibier_wheat_crop,3.9,triticum_aestivum_galibier,,,,60.0,
grain_sorghum_crop,2.4,sorghum,,,,,grain
hemp_crop,1.2,cannabis,,,,,
int_seed_corn_crop,3.0,zea,,50.0,40.0,,seed
irrigate_spring_barley_crop,2.5,hordeum_distichum,true,,,,
isengrain_wheat_crop,3.0,triticum_aestivum_isengrain,,,,,
karur_wheat_crop,3.7,triticum_durum_karur,,,,40.0,
levis_wheat_crop,4.1,triticum_aestivum_levis,,,,80.0,
lona_wheat_crop,4.1,triticum_aestivum_lona,,,,80.0,
low_fodder_corn_crop,14.0,zea,,120.0,,,fodder
low_grain_corn_crop,2.3,zea,,100.0,,,grain
low_protein_brassage_barley_crop,2.5,hordeum_hexastichum,,,,,
low_protein_spring_barley_crop,2.4,hordeum_distichum,,,,,
low_seed_corn_crop,4.0,zea,,35.0,,,seed
manital_wheat_crop,3.7,triticum_aestivum_manital,,,,40.0,
max_fodder_corn_crop,12.0,zea,,,180.0,,fodder
max_grain_corn_crop,2.1,zea,,,120.0,,grain
max_seed_corn_crop,2.5,zea,,,50.0,,seed
mid_fodder_corn_crop,13.0,zea,,180.0,120.0,,fodder
mid_grain_corn_crop,2.2,zea,,120.0,100.0,,grain
mid_seed_corn_crop,3.5,zea,,40.0,35.0,,seed
miradoux_wheat_crop,3.9,triticum_durum_miradoux,,,,60.0,
oat_crop,2.2,avena,,,,,
oratorio_wheat_crop,3.2,triticum_aestivum_oratorio,,,,,
other_crop,2.5,poaceae,,,,,
pescadou_wheat_crop,3.5,triticum_durum_pescadou,,,,40.0,
qualital_wheat_crop,4.1,triticum_aestivum_qualital,,,,80.0,
quality_wheat_crop,3.9,triticum_aestivum_quality,,,,60.0,
quebon_wheat_crop,4.1,triticum_aestivum_quebon,,,,80.0,
rapeseed_crop,6.5,brassica_napus,,,,,
recital_wheat_crop,3.2,triticum_aestivum_recital,,,,,
renan_wheat_crop,3.7,triticum_aestivum_renan,,,,40.0,
rubisko_wheat_crop,3.0,triticum_aestivum_rubisko,,,,,
runal_wheat_crop,4.1,triticum_aestivum_runal,,,,80.0,
sculptur_wheat_crop,3.9,triticum_durum_sculptur,,,,60.0,
secale_crop,2.3,secale,,,,,
soissons_wheat_crop,3.2,triticum_aestivum_soissons,,,,,
spring_barley_crop,2.2,hordeum_distichum,,,,,
sunflower_crop,4.5,helianthus,,,,,
sweet_seed_corn_crop,1.1,zea_mays_saccharata,,,,,grain
sy_banco_wheat_crop,3.7,triticum_durum_sy_banco,,,,40.0,
sy_cysco_wheat_crop,3.9,triticum_durum_sy_cysco,,,,60.0,
tablur_wheat_crop,4.1,triticum_durum_tablur,,,,80.0,
tamaro_wheat_crop,4.1,triticum_aestivum_tamaro,,,,80.0,
texel_wheat_crop,3.0,triticum_aestivum_texel,,,,,
tremie_wheat_crop,2.8,triticum_aestivum_tremie,,,,,
triticosecale_crop,2.6,triticosecale,,,,,
virginie_tobacco_crop,3.5,nicotiana_tabacum_virginie,,,,,
winter_barley_crop,2.5,hordeum_hexastichum,,,,,
