name,administrative_area R(administrative_areas),cultivation_variety R(varieties),irrigated B,maximum_nitrogen_input D,production_usage R(production_usages)
apple_cabbage_aquitaine,france_region_aquitaine,brassica_oleracea_capitata,,250.0,
apple_cabbage_poitou_charentes,france_region_poitou_charentes,brassica_oleracea_capitata,,200.0,
artichoke_aquitaine,france_region_aquitaine,cynara,,180.0,
artichoke_poitou_charentes,france_region_poitou_charentes,cynara,,120.0,
asparagus_aquitaine,france_region_aquitaine,asparagus,,170.0,
asparagus_poitou_charentes,france_region_poitou_charentes,asparagus,,120.0,
bean_aquitaine,france_region_aquitaine,phaseolus,,120.0,
bean_poitou_charentes,france_region_poitou_charentes,phaseolus,,50.0,
beet_aquitaine,france_region_aquitaine,beta_vulgaris,,250.0,
beet_poitou_charentes,france_region_poitou_charentes,beta_vulgaris,,170.0,
brussels_sprout_aquitaine,france_region_aquitaine,brassica_oleracea_gemmifera,,210.0,
brussels_sprout_poitou_charentes,france_region_poitou_charentes,brassica_oleracea_gemmifera,,160.0,
carrot_aquitaine,france_region_aquitaine,daucus_carota,,180.0,
carrot_poitou_charentes,france_region_poitou_charentes,daucus_carota,,120.0,
cauliflower_aquitaine,france_region_aquitaine,brassica_oleracea_botrytis,,340.0,
cauliflower_poitou_charentes,france_region_poitou_charentes,brassica_oleracea_botrytis,,170.0,
corn_salad_aquitaine,france_region_aquitaine,valerianella_locusta,,70.0,
corn_salad_poitou_charentes,france_region_poitou_charentes,valerianella_locusta,,70.0,
cucumber_aquitaine,france_region_aquitaine,cucurbita,,300.0,
cucumber_poitou_charentes,france_region_poitou_charentes,cucurbita,,170.0,
curly_chicory_aquitaine,france_region_aquitaine,cichorium_endivia,,145.0,
eggplant_aquitaine,france_region_aquitaine,solanum_melongena,,250.0,
eggplant_poitou_charentes,france_region_poitou_charentes,solanum_melongena,,250.0,
lettuce_aquitaine,france_region_aquitaine,lactuca,,120.0,
lettuce_poitou_charentes,france_region_poitou_charentes,lactuca,,120.0,
muskmelon_salad_aquitaine,france_region_aquitaine,cucumis,,160.0,
muskmelon_salad_poitou_charentes,france_region_poitou_charentes,cucumis,,140.0,
onion_aquitaine,france_region_aquitaine,allium,,150.0,
onion_poitou_charentes,france_region_poitou_charentes,allium,,150.0,
shallot_aquitaine,france_region_aquitaine,allium_cepa,,100.0,
shallot_poitou_charentes,france_region_poitou_charentes,allium_cepa,,110.0,
spinach_aquitaine,france_region_aquitaine,spinacia_oleracea,,220.0,
spinach_poitou_charentes,france_region_poitou_charentes,spinacia_oleracea,,120.0,
strawberry_aquitaine,france_region_aquitaine,fragaria,,250.0,
table_vine_aquitaine,france_region_aquitaine,vitis,,210.0,
table_vine_poitou_charentes,france_region_poitou_charentes,vitis,,80.0,
vine_aquitaine,france_region_aquitaine,vitis_vinifera,,100.0,
vine_poitou_charentes,france_region_poitou_charentes,vitis_vinifera,,80.0,
wild_celery_aquitaine,france_region_aquitaine,apium_graveolens,,260.0,
wild_celery_poitou_charentes,france_region_poitou_charentes,apium_graveolens,,170.0,
zucchini_aquitaine,france_region_aquitaine,cucurbita_pepo,,300.0,
zucchini_poitou_charentes,france_region_poitou_charentes,cucurbita_pepo,,160.0,
