name,cereal_crop I,cereal_typology R(crop_sets),husbandry I,husbandry_with_mixed_crop I,irrigated B,mixed_crop I,soil_nature R(soil_natures)
aubues_corn_sorghum,40,corn_sorghum,45,55,,50,aubues_soil
aubues_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,aubues_soil
aubues_spring_straw_cereal,40,spring_straw_cereal,45,55,,50,aubues_soil
aubues_winter_straw_cereal,30,winter_straw_cereal,35,45,,40,aubues_soil
black_valley_corn_sorghum,75,corn_sorghum,85,90,,85,black_valley_soil
black_valley_spring_straw_cereal,75,spring_straw_cereal,85,90,,85,black_valley_soil
black_valley_winter_straw_cereal,45,winter_straw_cereal,50,60,,50,black_valley_soil
champagne_corn_sorghum,40,corn_sorghum,45,55,,50,champagne_soil
champagne_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,champagne_soil
champagne_spring_straw_cereal,40,spring_straw_cereal,45,55,,50,champagne_soil
champagne_winter_straw_cereal,30,winter_straw_cereal,35,45,,40,champagne_soil
clay_limestone_corn_sorghum,40,corn_sorghum,45,55,,50,clay_limestone_soil
clay_limestone_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,clay_limestone_soil
clay_limestone_spring_straw_cereal,40,spring_straw_cereal,45,55,,50,clay_limestone_soil
clay_limestone_winter_straw_cereal,30,winter_straw_cereal,35,45,,40,clay_limestone_soil
flap_silt_corn_sorghum,50,corn_sorghum,50,75,,65,flap_silt_soil
flap_silt_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,flap_silt_soil
flap_silt_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,flap_silt_soil
flap_silt_winter_straw_cereal,35,winter_straw_cereal,40,50,,45,flap_silt_soil
granite_arena_corn_sorghum,50,corn_sorghum,50,75,,65,granite_arena_soil
granite_arena_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,granite_arena_soil
granite_arena_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,granite_arena_soil
granite_arena_winter_straw_cereal,35,winter_straw_cereal,35,35,,35,granite_arena_soil
hydromorph_sandy_clay_loam_corn_sorghum,50,corn_sorghum,50,75,,65,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_winter_straw_cereal,35,winter_straw_cereal,40,50,,45,hydromorph_sandy_clay_loam_soil
red_chesnut_corn_sorghum,50,corn_sorghum,50,75,,65,chesnut_red_soil
red_chesnut_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,chesnut_red_soil
red_chesnut_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,chesnut_red_soil
red_chesnut_winter_straw_cereal,35,winter_straw_cereal,40,50,,45,chesnut_red_soil
sand_corn_sorghum,70,corn_sorghum,75,85,,80,sand_soil
sand_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,sand_soil
sand_spring_straw_cereal,70,spring_straw_cereal,75,85,,80,sand_soil
sand_winter_straw_cereal,35,winter_straw_cereal,40,50,,45,sand_soil
silt_schist_corn_sorghum,40,corn_sorghum,40,40,,40,silt_schist_soil
silt_schist_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,silt_schist_soil
silt_schist_spring_straw_cereal,40,spring_straw_cereal,40,40,,40,silt_schist_soil
silt_schist_winter_straw_cereal,40,winter_straw_cereal,40,40,,40,silt_schist_soil
silty_clay_corn_sorghum,50,corn_sorghum,50,75,,65,silty_clay_soil
silty_clay_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,silty_clay_soil
silty_clay_loam_corn_sorghum,50,corn_sorghum,50,75,,65,silty_clay_loam_soil
silty_clay_loam_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,silty_clay_loam_soil
silty_clay_loam_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,silty_clay_loam_soil
silty_clay_loam_winter_straw_cereal,35,winter_straw_cereal,40,50,,45,silty_clay_loam_soil
silty_clay_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,silty_clay_soil
silty_clay_winter_straw_cereal,35,winter_straw_cereal,40,50,,45,silty_clay_soil
valley_terrace_corn_sorghum,50,corn_sorghum,50,75,,65,valley_terrace_soil
valley_terrace_irrigated_corn_sorghum,70,corn_sorghum,75,85,true,80,valley_terrace_soil
valley_terrace_spring_straw_cereal,50,spring_straw_cereal,50,75,,65,valley_terrace_soil
valley_terrace_winter_straw_cereal,30,winter_straw_cereal,35,45,,40,valley_terrace_soil
