name,crop_destruction_method R(residue_elimination_methods),current_crop_implantation_period_start,previous_crop R(crop_sets),previous_crop_destruction_period_start,previous_crop_destruction_period_stop,previous_crop_maximum_age I,previous_crop_minimum_age I,quantity I
alfalfa_current_year,,0101,alfalfa,0101,1231,36,0,40
alfalfa_next_year,,0101,alfalfa,0101,1231,36,0,20
bean,,0101,bean,0101,1231,36,0,20
beet,,0101,beet,0101,1231,36,0,20
carrot,,0101,carrot,0101,1231,36,0,10
chicory,,0101,chicory,0101,1231,36,0,10
concealed_meadow,,0101,grass,0101,1231,36,0,30
flax,,0101,flax,0101,1231,36,0,0
grain_corn,,0101,corn,0101,1231,36,0,-10
grass_fallow_land_A1,,1001,grass,0830,0930,12,0,10
grass_fallow_land_A2,,0301,grass,0830,0930,12,0,5
grass_fallow_land_A3,,0301,grass,0101,0401,12,0,10
grass_fallow_land_B1,,1001,grass,0830,0930,,12,20
grass_fallow_land_B2,,0301,grass,0830,0930,,12,15
grass_fallow_land_B3,,0301,grass,0101,0401,,12,20
grleg_fallow_land,,0101,grass_leguminous,0101,1231,36,0,0
grleg_fallow_land_A1,,1001,grass_leguminous,0830,0930,12,0,15
grleg_fallow_land_A2,,0301,grass_leguminous,0830,0930,12,0,10
grleg_fallow_land_A3,,0301,grass_leguminous,0101,0401,12,0,15
grleg_fallow_land_B1,,1001,grass_leguminous,0830,0930,,12,30
grleg_fallow_land_B2,,0301,grass_leguminous,0830,0930,,12,25
grleg_fallow_land_B3,,0301,grass_leguminous,0101,0401,,12,30
legum_fallow_land,,0101,leguminous,0101,1231,36,0,0
legum_fallow_land_A1,,1001,leguminous,0830,0930,12,0,20
legum_fallow_land_A2,,0301,leguminous,0830,0930,12,0,15
legum_fallow_land_A3,,0301,leguminous,0101,0401,12,0,20
legum_fallow_land_B1,,1001,leguminous,0830,0930,,12,40
legum_fallow_land_B2,,0301,leguminous,0830,0930,,12,30
legum_fallow_land_B3,,0301,leguminous,0101,0401,,12,40
meadow,,0101,grass,0101,1231,36,0,0
nightshade,,0101,nightshade,0101,1231,36,0,20
peas,,0101,peas,0101,1231,36,0,20
rape,,0101,rape,0101,1231,36,0,20
silage_corn,,0101,corn,0101,1231,36,0,0
straw_cereal_buried,,0101,straw_cereal,0101,1231,36,0,-20
straw_cereal_export,,0101,straw_cereal,0101,1231,36,0,0
sunflower,,0101,sunflower,0101,1231,36,0,0
vetch,,0101,vetch,0101,1231,36,0,30
